Jugada,1,2,3,4,5,Diferencial,Tipus de jugada,Èxit/No Èxit,Punts,Quart,Clutch-time,Rival,Terreny,Competició
1,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,0,2,1,2,1,0,Alba Berlin,Local,Eurolliga
2,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,2,2,1,3,1,0,Alba Berlin,Local,Eurolliga
3,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,5,2,1,2,1,0,Alba Berlin,Local,Eurolliga
4,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,5,2,1,3,1,0,Alba Berlin,Local,Eurolliga
5,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,8,4,1,0,1,0,Alba Berlin,Local,Eurolliga
6,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,8,4,1,2,1,0,Alba Berlin,Local,Eurolliga
7,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,10,5,1,0,1,0,Alba Berlin,Local,Eurolliga
8,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,8,4,1,2,1,0,Alba Berlin,Local,Eurolliga
9,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,8,2,1,2,1,0,Alba Berlin,Local,Eurolliga
10,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,10,4,1,0,1,0,Alba Berlin,Local,Eurolliga
11,Calathes,Higgins,Hayes-Davis,Mirotic,Davies,10,4,1,2,1,0,Alba Berlin,Local,Eurolliga
12,Laprovittola,Higgins,Hayes-Davis,Mirotic,Sanli,12,4,0,0,1,0,Alba Berlin,Local,Eurolliga
13,Laprovittola,Higgins,Hayes-Davis,Mirotic,Sanli,12,2,1,0,1,0,Alba Berlin,Local,Eurolliga
14,Calathes,Laprovittola,Higgins,Mirotic,Sanli,12,1,0,0,1,0,Alba Berlin,Local,Eurolliga
15,Calathes,Laprovittola,Kuric,Mirotic,Sanli,10,2,0,0,1,0,Alba Berlin,Local,Eurolliga
16,Calathes,Laprovittola,Kuric,Mirotic,Sanli,10,2,1,0,1,0,Alba Berlin,Local,Eurolliga
17,Calathes,Laprovittola,Kuric,Mirotic,Sanli,12,2,1,2,1,0,Alba Berlin,Local,Eurolliga
18,Calathes,Laprovittola,Kuric,Mirotic,Sanli,10,2,1,0,1,0,Alba Berlin,Local,Eurolliga
19,Jokubaitis,Laprovittola,Kuric,Mirotic,Sanli,7,4,1,2,1,0,Alba Berlin,Local,Eurolliga
20,Jokubaitis,Laprovittola,Kuric,Smits,Sanli,9,2,1,3,1,0,Alba Berlin,Local,Eurolliga
21,Jokubaitis,Laprovittola,Kuric,Smits,Sanli,12,2,0,0,1,0,Alba Berlin,Local,Eurolliga
22,Jokubaitis,Laprovittola,Kuric,Smits,Oriola,10,2,1,3,1,0,Alba Berlin,Local,Eurolliga
