Jugada,1,2,3,4,5,Diferencial,Tipus de jugada,Èxit/No Èxit,Punts,Quart,Clutch-time,Rival,Terreny,Competició
1,Calathes,Laprovittola,Exum,Mirotic,Sanli,0,1,1,2,1,1,Madrid,Neutral,F4
2,Calathes,Laprovittola,Exum,Mirotic,Sanli,-1,1,1,0,1,1,Madrid,Neutral,F4
3,Calathes,Laprovittola,Exum,Mirotic,Sanli,-1,1,1,0,1,1,Madrid,Neutral,F4
4,Calathes,Laprovittola,Exum,Mirotic,Sanli,-4,2,0,0,1,1,Madrid,Neutral,F4
5,Calathes,Laprovittola,Exum,Mirotic,Sanli,-6,2,1,2,1,1,Madrid,Neutral,F4
6,Calathes,Laprovittola,Exum,Mirotic,Sanli,-4,5,0,0,1,1,Madrid,Neutral,F4
7,Calathes,Laprovittola,Exum,Mirotic,Davies,-4,4,1,2,1,1,Madrid,Neutral,F4
8,Calathes,Laprovittola,Exum,Mirotic,Davies,-4,4,1,2,1,1,Madrid,Neutral,F4
9,Calathes,Laprovittola,Exum,Mirotic,Davies,-4,2,1,0,1,1,Madrid,Neutral,F4
10,Calathes,Laprovittola,Abrines,Mirotic,Davies,-4,1,0,0,1,1,Madrid,Neutral,F4
11,Calathes,Laprovittola,Abrines,Mirotic,Davies,-6,3,0,0,1,1,Madrid,Neutral,F4
12,Calathes,Laprovittola,Abrines,Mirotic,Davies,-6,5,1,0,1,1,Madrid,Neutral,F4
13,Calathes,Laprovittola,Abrines,Mirotic,Davies,-6,4,1,2,1,1,Madrid,Neutral,F4
14,Calathes,Laprovittola,Abrines,Mirotic,Davies,-4,2,1,2,1,1,Madrid,Neutral,F4
15,Calathes,Laprovittola,Abrines,Mirotic,Davies,-2,2,1,0,1,1,Madrid,Neutral,F4
16,Calathes,Higgins,Abrines,Mirotic,Smits,-2,2,0,0,1,1,Madrid,Neutral,F4
17,Calathes,Higgins,Abrines,Mirotic,Smits,-2,3,1,3,1,1,Madrid,Neutral,F4
18,Calathes,Higgins,Abrines,Mirotic,Smits,-1,3,1,2,1,1,Madrid,Neutral,F4
19,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,1,2,1,2,1,1,Madrid,Neutral,F4
20,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,1,2,0,0,1,1,Madrid,Neutral,F4
21,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,1,4,0,0,1,1,Madrid,Neutral,F4
22,Jokubaitis,Higgins,Abrines,Exum,Mirotic,0,2,0,0,1,1,Madrid,Neutral,F4
23,Jokubaitis,Higgins,Abrines,Exum,Mirotic,0,1,0,0,1,1,Madrid,Neutral,F4
24,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,-3,3,1,1,2,1,Madrid,Neutral,F4
25,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,-5,2,1,0,2,1,Madrid,Neutral,F4
26,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,-5,2,0,0,2,1,Madrid,Neutral,F4
27,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,-5,1,1,3,2,1,Madrid,Neutral,F4
28,Jokubaitis,Higgins,Abrines,Hayes-Davis,Smits,-4,2,1,0,2,1,Madrid,Neutral,F4
29,Jokubaitis,Higgins,Abrines,Hayes-Davis,Davies,-4,2,0,0,2,1,Madrid,Neutral,F4
30,Jokubaitis,Higgins,Abrines,Hayes-Davis,Davies,-4,4,0,0,2,1,Madrid,Neutral,F4
31,Jokubaitis,Higgins,Abrines,Hayes-Davis,Davies,-4,3,1,0,2,1,Madrid,Neutral,F4
32,Jokubaitis,Higgins,Abrines,Hayes-Davis,Davies,-4,2,1,0,2,1,Madrid,Neutral,F4
33,Jokubaitis,Higgins,Abrines,Hayes-Davis,Davies,-4,5,1,2,2,1,Madrid,Neutral,F4
34,Calathes,Laprovittola,Exum,Mirotic,Davies,-2,1,1,2,2,1,Madrid,Neutral,F4
35,Calathes,Laprovittola,Exum,Mirotic,Davies,0,5,0,0,2,1,Madrid,Neutral,F4
36,Calathes,Laprovittola,Exum,Mirotic,Davies,0,3,1,2,2,1,Madrid,Neutral,F4
37,Calathes,Laprovittola,Exum,Mirotic,Davies,0,2,1,2,2,1,Madrid,Neutral,F4
38,Calathes,Laprovittola,Exum,Mirotic,Davies,2,2,1,0,2,1,Madrid,Neutral,F4
39,Calathes,Laprovittola,Exum,Mirotic,Davies,0,3,1,3,2,1,Madrid,Neutral,F4
40,Calathes,Laprovittola,Exum,Mirotic,Davies,1,5,1,2,2,1,Madrid,Neutral,F4
41,Calathes,Laprovittola,Exum,Mirotic,Davies,3,4,0,0,2,1,Madrid,Neutral,F4
42,Calathes,Laprovittola,Exum,Mirotic,Davies,3,2,0,0,2,1,Madrid,Neutral,F4
43,Calathes,Laprovittola,Exum,Mirotic,Davies,3,5,1,3,2,1,Madrid,Neutral,F4
44,Calathes,Laprovittola,Kuric,Mirotic,Sanli,6,5,1,2,2,1,Madrid,Neutral,F4
45,Calathes,Laprovittola,Kuric,Mirotic,Sanli,8,3,1,0,2,1,Madrid,Neutral,F4
46,Laprovittola,Exum,Kuric,Mirotic,Sanli,9,1,1,2,2,1,Madrid,Neutral,F4
47,Exum,Kuric,Abrines,Hayes-Davis,Mirotic,11,1,0,0,2,1,Madrid,Neutral,F4
48,Calathes,Laprovittola,Exum,Mirotic,Sanli,11,3,1,0,3,1,Madrid,Neutral,F4
